,Frequency (MHz),Clean_EIRP(dBm)
969,169.6325,-106.31865532684215
970,169.725,-104.42588272424183
971,169.8175,-111.86796731091502
972,169.91,
973,170.0025,
974,170.095,-106.69497622741268
975,170.1875,-104.75721771253504
976,170.28,-106.28419136283355
977,170.3725,
978,170.465,
979,170.5575,-108.85986692276549
980,170.65,-109.54593274834502
981,170.7425,-109.59582482360764
982,170.835,
983,170.9275,
984,171.02,
985,171.1125,-115.08485896121226
986,171.205,
987,171.2975,
988,171.39,-110.82540599046474
989,171.4825,-108.23708691163094
990,171.575,-106.8840455845229
991,171.6675,-106.5650202182486
992,171.76,-106.83272139642654
993,171.8525,-112.5663067765079
994,171.945,-106.00769450746301
995,172.0375,-107.22806934805661
996,172.13,-109.47439162660265
997,172.2225,-106.0506807798657
998,172.315,
999,172.4075,
1000,172.5,
1001,172.5925,
1002,172.685,-109.05323155473081
1003,172.7775,-109.02271609503774
1004,172.87,
1005,172.9625,
1006,173.055,-106.17393257733922
1007,173.1475,-106.10174243063689
1008,173.24,
1009,173.3325,-111.72656724970236
1010,173.425,
1011,173.5175,
1012,173.61,
1013,173.7025,-106.32261188817493
1014,173.795,-107.48461133836594
1015,173.8875,-107.58217095288734
1016,173.98,
1017,174.0725,
1018,174.165,-105.54324013598391
1019,174.2575,-105.50231280191088
1020,174.35,-113.86438824864136
1021,174.4425,
1022,174.535,
1023,174.6275,-109.31347982176051
1024,174.72,-125.64505401403353
1025,174.8125,
1026,174.905,
1027,174.9975,-106.99218531535854
1028,175.09,-107.47632186535702
1029,175.1825,
1030,175.275,-111.89116155153454
1031,175.3675,-112.92338011368626
1032,175.46,
1033,175.5525,-108.88841214400536
1034,175.645,-107.21304446162264
1035,175.7375,-118.26347060807338
1036,175.83,
1037,175.9225,
1038,176.015,-106.71956748844292
1039,176.1075,-110.78159294994292
1040,176.2,
1041,176.2925,-111.08644260875744
1042,176.385,-109.50402985800294
1043,176.4775,
1044,176.57,-106.53708477735073
1045,176.6625,
1046,176.755,
1047,176.8475,-111.31874146752921
1048,176.94,-113.06847795808581
1049,177.0325,-108.70511740538254
1050,177.125,-105.32459391848585
1051,177.2175,
1052,177.31,-118.39329282708782
1053,177.4025,
1054,177.495,-121.53722594786883
1055,177.5875,-112.09649963257876
1056,177.68,-106.0909686277156
1057,177.7725,
1058,177.865,
1059,177.9575,-107.40339502595947
1060,178.05,-112.41884419287224
1061,178.1425,
1062,178.235,-109.59535434993433
1063,178.3275,-105.98795058339256
1064,178.42,-102.61013351957712
1065,178.5125,-104.34271681050403
1066,178.605,-108.56799648658524
1067,178.6975,-107.11453370404237
1068,178.79,-110.10489655214218
1069,178.8825,-109.10378588376334
1070,178.975,-105.36466408651143
1071,179.0675,-103.13757539733736
1072,179.16,-102.0817480269332
1073,179.2525,-106.53235989007018
1074,179.345,-113.92411719260095
1075,179.4375,-115.55272789719965
1076,179.53,-103.69860987017694
1077,179.6225,-102.18247492774452
1078,179.715,-108.5389949001569
1079,179.8075,-118.73698220463908
1080,179.9,
1081,179.9925,-125.48441412767352
1082,180.085,
1083,180.1775,-113.62246508982477
1084,180.27,-116.46102865162075
1085,180.3625,
1086,180.455,
1087,180.5475,-103.03879123392234
