Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
123.5675,-80.67153701349764,-95.73279342218905
123.66,-81.30505562699963,-94.81394387162854
123.7525,-82.04498700063367,-95.22432354848523
123.845,-84.82291426498611,-96.24452986557205
123.9375,-87.73200238090013,-96.2962037358806
124.03,-87.60329977620204,-95.63512198079188
124.1225,-88.42424884048492,-92.56497302261383
124.215,-88.5458774462628,-94.08660315427062
124.3075,-87.21989475202032,-95.14285312604376
124.4,-86.90196607668746,-94.2804679687773
124.4925,-89.15952848299438,-95.44622587068969
124.585,-92.28708035890571,-95.44536740724556
124.6775,-94.91096751483835,-97.16147105487741
124.77,-93.24418210892009,-97.52947568802165
124.8625,-92.16966803974705,-98.2606943458994
124.955,-91.69996911051344,-95.58378869059156
125.0475,-92.56281560675296,-95.29659551397953
125.14,-92.35329259837559,-95.38004888499668
125.2325,-95.16054895050002,-97.66697290069533
125.325,-94.58059947239668,-96.81115214573653
125.4175,-93.86374773150266,-98.07424272661984
125.51,-95.47100544813345,-96.22290516737174
125.6025,-96.63932383963402,-98.08949626395042
125.695,-95.73507111815341,-96.05684083250888
125.7875,-95.72314872024475,-96.04609336135803
125.88,-94.60478124150582,-97.07602605351754
125.9725,-93.7283913922434,-96.28506253482152
126.065,-93.58697092392937,-95.89804422715203
126.1575,-94.98261616664097,-96.21384785609409
126.25,-95.5978786333141,-96.17960470753285
126.3425,-94.96637768468086,-98.13582653721993
126.435,-93.07765274848752,-97.29786759223752
126.5275,-93.54316324524139,-96.98385233215545
126.62,-93.69919894617361,-98.40305636804861
126.7125,-96.25425699835682,-94.89884928351307
126.805,-97.1587776528994,-94.83145373932518
126.8975,-96.53666282954768,-96.11012626948909
126.99,-96.38583002016719,-96.93977746889766
127.0825,-96.44687990027052,-96.01040986853224
127.175,-96.94936556365641,-95.75979799773845
127.2675,-95.89437004522298,-96.4583882947347
127.36,-96.95472910707463,-96.8286228448676
127.4525,-97.21661602378379,-97.36454235435019
127.545,-96.84677028821321,-97.00423336194368
127.6375,-97.51515081653079,-96.60505560168704
127.73,-97.51209293710154,-98.01960026132029
127.8225,-97.84169981512856,-99.89103910956216
127.915,-96.98754375251113,-94.95537059577285
128.0075,-98.74566637660587,-96.01908098842227
128.1,-97.97473762468147,-98.24503181413459
128.1925,-96.78134125617596,-96.95379609016034
128.285,-96.19145883472981,-96.77944101246419
