Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
118.0175,-88.90675358649865,-90.24613194343225
118.11,-89.24836766040768,-89.7251056364819
118.2025,-88.95596548675888,-90.55598684906357
118.295,-90.12746065810505,-90.53944796279255
118.3875,-86.42089816941055,-89.88595554245742
118.48,-86.00944309889415,-90.34689121901134
118.5725,-88.884520708472,-90.581298052222
118.665,-87.84837778424681,-89.40356119489134
118.7575,-86.51372405511884,-90.855681147404
118.85,-88.06585530084664,-90.41757801813179
118.9425,-88.77711105483121,-90.1975669874484
119.035,-88.21225790504157,-91.47303823951422
119.1275,-86.75120220167561,-91.45810375196858
119.22,-87.19172748405627,-89.10782703239612
119.3125,-89.9525737043998,-89.36457626787636
119.405,-88.8651318690617,-89.51063205216717
119.4975,-89.2543842852487,-90.44727063778777
119.59,-88.44809035216166,-89.75253371153666
119.6825,-88.49258398543655,-89.01332830916702
119.775,-89.7595851407042,-90.14649462556748
119.8675,-91.88216630540906,-91.05215684495984
119.96,-88.40956054336002,-88.64389739638736
120.0525,-88.60874705128975,-89.71693949513741
120.145,-89.9289214254312,-87.99235221156401
120.2375,-87.93260135675897,-88.11883487726678
120.33,-90.95042353041939,-91.3693001783686
120.4225,-88.76349099288683,-91.64406045089464
120.515,-89.59396922548686,-91.61384379824077
120.6075,-90.60668335957314,-91.72396241230751
120.7,-89.47467986440503,-90.93071166372144
120.7925,-89.62945741877495,-90.56666750178276
120.885,-90.38101716195564,-94.03037781869392
120.9775,-91.31274079147725,-92.44374512497335
121.07,-91.13330470298321,-92.65316401694805
121.1625,-91.66275491223179,-92.59765328869663
121.255,-89.4547833790422,-92.28357213636642
121.3475,-90.496567843614,-91.63678085630931
121.44,-90.79642673902768,-90.94602390699643
121.5325,-92.3671191566099,-90.62716706920756
121.625,-91.87245955347048,-90.49288191675173
121.7175,-90.23677724135868,-92.05197804702274
121.81,-92.63839376095494,-93.15813100460728
121.9025,-92.24132041931756,-92.84047966004022
121.995,-93.68604239072955,-93.71166189756549
122.0875,-92.72362095367907,-89.90969425690173
122.18,-91.43059860981518,-91.62530075825268
122.2725,-91.48233770413215,-93.54837774319465
122.365,-92.69135840681422,-91.50701697615015
122.4575,-92.49993844993021,-92.23680826194193
122.55,-93.81922468268469,-93.84856733405188
122.6425,-93.61119586407278,-92.23470050274466
122.735,-91.40177015203031,-91.7509370221475
122.8275,-91.37946860681366,-93.18221061120819
122.92,-91.68433289136533,-94.04921631421689
123.0125,-91.73897247526169,-95.46903686735153
123.105,-92.0798178205532,-93.73217682934227
123.1975,-93.72958754622239,-93.23675154768723
123.29,-94.62338259715963,-95.54463198680807
123.3825,-90.96841993075321,-93.78282727938603
123.475,-91.87819551681176,-93.04637788985863
123.5675,-92.63104460807394,-93.70898650260519
123.66,-93.02132240796062,-95.65431801342937
123.7525,-94.74555029936646,-92.99576392241333
123.845,-93.98208591010396,-93.3012845185024
123.9375,-93.11857357113351,-93.86569728939523
124.03,-94.64792694465642,-94.09888519660954
124.1225,-94.40776999985562,-92.44418509995327
124.215,-93.96273839733108,-93.66502416393264
124.3075,-94.72846482990529,-94.06723283527639
