Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
626.04,-72.58013863326684,-75.28013863326686
627.013333,-69.42436103710247,-74.76436103710246
627.986667,-69.28975719490964,-74.55975719490962
628.96,-72.77893179323941,-74.34893179323942
629.933333,-70.53569885228029,-74.21569885228028
630.906667,-67.34975950978875,-74.33975950978873
631.88,-72.00369212997765,-74.37369212997766
632.853333,-70.80361815617455,-74.24361815617455
633.826667,-72.9691708010864,-74.05917080108641
634.8,-71.68020811223553,-74.54020811223553
635.773333,-72.40937141309556,-73.81937141309555
636.746667,-70.44370073652539,-73.9137007365254
637.72,-71.37342149341494,-72.84342149341494
638.693333,-71.81008706146038,-73.73008706146038
639.666667,-71.72290572525607,-73.55290572525607
640.64,-72.22101541365555,-73.58101541365555
641.613333,-72.09548673972665,-73.68548673972663
642.586667,-72.1997165149791,-73.7797165149791
643.56,-71.90179317216915,-74.11179317216914
644.533333,-72.08894283269018,-73.49894283269018
645.506667,-72.9109186559817,-73.6409186559817
646.48,-72.40925023144065,-73.11925023144066
647.453333,-72.80085888711653,-73.92085888711654
648.426667,-71.59618107148593,-74.31618107148594
649.4,-72.57267578540488,-74.4726757854049
650.373333,-72.3928245049914,-73.51282450499139
651.346667,-73.1754272818094,-73.3954272818094
652.32,-72.20773343006974,-74.19773343006975
653.293333,-72.92994217430939,-73.7999421743094
654.266667,-72.54147454147042,-74.54147454147042
655.24,-72.78451896241417,-74.22451896241418
656.213333,-73.29411698688328,-74.79411698688327
657.186667,-73.02171689944589,-74.37171689944589
658.16,-72.42351713988877,-73.54351713988876
659.133333,-72.94342063854124,-74.38342063854122
660.106667,-72.85563867926216,-74.31563867926215
661.08,-71.88823104313765,-74.01823104313766
662.053333,-71.72371428570585,-74.38371428570584
663.026667,-68.59372410126517,-75.19372410126516
664.0,-72.70168757127675,-74.01168757127677
664.973333,-71.9217847468586,-74.4217847468586
665.946667,-71.89561863676553,-75.00561863676553
666.92,-71.69021429459325,-74.96021429459324
667.893333,-71.69646795630652,-74.88646795630652
668.866667,-73.35211409326536,-73.60211409326536
669.84,-72.72217374454392,-74.3521737445439
670.813333,-74.03119139976053,-73.93119139976054
671.786667,-72.27593991822413,-74.91593991822413
672.76,-72.273254649146,-74.313254649146
673.733333,-73.45303251854341,-74.2130325185434
674.706667,-69.46416734993325,-74.59416734993323
675.68,-72.94850541298335,-74.55850541298335
676.653333,-73.42593237295479,-74.14593237295479
677.626667,-73.54906387902629,-74.87906387902629
678.6,-72.93570022370592,-75.02570022370591
679.573333,-73.30859697506175,-74.55859697506175
680.546667,-73.281315257194,-75.24131525719399
681.52,-72.8309347300044,-74.59093473000439
682.493333,-73.8078937477975,-73.52789374779749
683.466667,-72.6988769495325,-74.1688769495325
684.44,-72.40623255514448,-74.69623255514449
685.413333,-72.96355930313861,-72.1435593031386
686.386667,-72.68403509043915,-74.11403509043916
687.36,-73.43866373438921,-73.5586637343892
688.333333,-72.6763086266308,-72.4463086266308
689.306667,-73.41960626631102,-74.15960626631102
690.28,-72.69916539984216,-73.56916539984216
691.253333,-73.22250195873937,-73.94250195873937
692.226667,-72.93756150478384,-73.41756150478383
693.2,-73.21093343651845,-74.17093343651844
694.173333,-73.39846292103456,-74.26846292103457
695.146667,-72.72349108445076,-73.01349108445076
